============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Layer 1(  20 mm) =========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  122  2 .3425430E+07   2000000E+02  .5853E+06 -.2479E+07   .9997692  .0111342 -.0183711
T  123  2 .3378004E+07   2000000E+02  .3974E+06 -.1447E+07   .9999625  .0072372 -.0047626
T  124  2 .3423043E+07   2000000E+02  .3288E+06 -.1217E+07   .9998475  .0140807 -.0103282
T  125  2 .3337088E+07   2000000E+02  .3345E+06  .4763E+06   .9999773  .0038539 -.0055280
T  126  2 .3361445E+07   2000000E+02 -.1443E+06  .2479E+06   .9999988  .0005645 -.0014438
T  127  2 .3280180E+07   2000000E+02 -.7563E+06 -.4828E+05   .9997929 -.0196166  .0054189
T  128  2 .3270710E+07   2000000E+02  .1035E+07  .1044E+07   .9999579  .0091731 -.0001032
T  129  2 .3362783E+07   2000000E+02 -.2151E+07 -.7717E+06   .9991384 -.0395975 -.0124332
T  130  2 .3362295E+07   2000000E+02 -.1248E+07 -.7950E+06   .9998943 -.0061154 -.0131886
T  131  2 .3352742E+07   2000000E+02 -.1088E+07  .2033E+07   .9999397 -.0069140  .0085332
T  132  2 .3362580E+07   2000000E+02  .1113E+06  .7076E+06   .9999687 -.0072282  .0032117
T  133  2 .3296114E+07   2000000E+02  .7056E+06  .2248E+06   .9999942  .0007495  .0033142
T  134  2 .3361876E+07   2000000E+02  .1330E+06 -.2854E+06   .9999102 -.0113002 -.0072106
T  135  2 .3282302E+07   2000000E+02 -.2007E+06 -.1513E+07   .9998399  .0097364 -.0150153
T  136  2 .3342754E+07   2000000E+02 -.8065E+06 -.1428E+07   .9991075 -.0330652 -.0262844
T  137  2 .3386706E+07   2000000E+02  .1980E+07 -.1085E+07   .9999602  .0088337 -.0012454
T  138  2 .3369631E+07   2000000E+02  .2371E+06 -.2765E+06   .9999636  .0042330 -.0074058
T  139  2 .3315680E+07   2000000E+02 -.8897E+06  .1062E+07   .9998954 -.0113110  .0090182
T  140  2 .3362403E+07   2000000E+02 -.1599E+07  .1287E+07   .9998180 -.0160032  .0103851
T  141  2 .3386562E+07   2000000E+02 -.6542E+06 -.6123E+07   .9983935  .0044801 -.0564836
T  142  2 .3372559E+07   2000000E+02 -.9301E+05  .1521E+07   .9999415 -.0044988  .0098360
T  143  2 .3383835E+07   2000000E+02 -.5771E+06  .1242E+07   .9999852 -.0043154  .0033064
T  144  2 .3323460E+07   2000000E+02  .3520E+07 -.8766E+04   .9999548  .0092334  .0022753
T  145  2 .3374628E+07   2000000E+02 -.2282E+06  .8029E+06   .9998301 -.0051219  .0177048
T  146  2 .3359419E+07   2000000E+02 -.2011E+07  .1659E+07   .9999314 -.0103516  .0054734
T  147  2 .3433081E+07   2000000E+02  .6938E+06 -.7267E+06   .9999729 -.0026432 -.0068721
T  148  2 .3391725E+07   2000000E+02 -.2442E+07  .3862E+07   .9979512 -.0283570  .0573529
T  149  2 .3353290E+07   2000000E+02  .2152E+06 -.1491E+07   .9999774  .0023048 -.0063222
T  150  2 .3339109E+07   2000000E+02  .4245E+06 -.8278E+05   .9999344  .0058019  .0098796
T  151  2 .3347949E+07   2000000E+02 -.5722E+05  .1772E+07   .9998065  .0057698  .0188037
T  152  2 .3384092E+07   2000000E+02  .1755E+07 -.1177E+07   .9996644  .0091085 -.0242500
T  153  2 .3320201E+07   2000000E+02 -.1063E+07  .6359E+06   .9998986 -.0032999  .0138515
T  154  2 .3343168E+07   2000000E+02 -.9463E+06  .2360E+06   .9999115 -.0114062  .0068413
T  155  2 .3369728E+07   2000000E+02 -.4074E+05  .7507E+06   .9998646  .0011930  .0164119
T  156  2 .3326435E+07   2000000E+02  .1272E+05  .1198E+07   .9996127  .0218392  .0172480
T  157  2 .3404711E+07   2000000E+02 -.3506E+07  .2156E+07   .9995383 -.0253130  .0168069
T  158  2 .3315505E+07   2000000E+02  .1112E+07 -.6387E+06   .9999982 -.0000662 -.0018875
T  159  2 .3320128E+07   2000000E+02 -.2265E+06  .1344E+07   .9999847  .0002824  .0055312
T  160  2 .3370102E+07   2000000E+02 -.3652E+06 -.4600E+07   .9991883 -.0098831 -.0390511
T  161  2 .3375498E+07   2000000E+02 -.1338E+07  .1998E+07   .9999271  .0114531  .0038353
T  162  2 .3377810E+07   2000000E+02  .8679E+06  .8249E+06   .9999949  .0023383 -.0021672
T  163  2 .3343475E+07   2000000E+02  .8427E+06 -.1042E+07   .9999147  .0098049 -.0086240
T  164  2 .3291861E+07   2000000E+02  .1261E+06 -.3356E+06   .9999896  .0010171  .0044468
T  165  2 .3341458E+07   2000000E+02 -.1705E+07  .3942E+07   .9991297 -.0131409  .0395875
T  166  2 .3401287E+07   2000000E+02  .2230E+06 -.1341E+07   .9999726 -.0027098 -.0068886
T  167  2 .3344262E+07   2000000E+02  .6003E+06  .3833E+07   .9994243 -.0046656  .0336040
T  168  2 .3355576E+07   2000000E+02  .4786E+07  .4558E+06   .9996900  .0243545 -.0051738
T  169  2 .3329130E+07   2000000E+02  .2362E+07 -.2230E+07   .9996318  .0222364 -.0155533
T  170  2 .3348043E+07   2000000E+02  .2556E+07  .1360E+07   .9997477  .0180836  .0133274
T  171  2 .3310911E+07   2000000E+02  .1249E+07  .1345E+06   .9996681  .0248081  .0069478
T  172  2 .3350987E+07   2000000E+02  .2842E+06  .3186E+07   .9997449 -.0051368  .0219961
T  173  2 .3308276E+07   2000000E+02  .1429E+06  .1795E+07   .9997110  .0108803  .0214350
T  174  2 .3350557E+07   2000000E+02 -.2002E+07 -.9545E+06   .9998649 -.0112271 -.0120019
T  175  2 .3315246E+07   2000000E+02 -.2306E+07  .1244E+07   .9999901 -.0044181 -.0006012
T  176  2 .3299674E+07   2000000E+02  .1755E+07  .1478E+07   .9996937  .0144763  .0200733
T  177  2 .3343446E+07   2000000E+02 -.1577E+07  .1491E+07   .9999050 -.0101874  .0092859
T  178  2 .3325593E+07   2000000E+02  .5023E+06  .1679E+07   .9997911 -.0055831  .0196631
T  179  2 .3342885E+07   2000000E+02  .1467E+07 -.1909E+07   .9992487  .0341948 -.0182404
