============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar+Mylar+Mylar+Mylar( 14.3 um) ========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   90  2 .3695242E+07   1440011E-01  .5592E+03  .1131E+04   .9998520  .0101529  .0138894
T   91  2 .3702620E+07   1440022E-01  .1428E+03  .6641E+03   .9999307  .0004861  .0117588
T   92  2 .3661357E+07   1440018E-01  .4278E+03  .5352E+03   .9999742  .0057027  .0043622
T   93  2 .3624683E+07   1440005E-01 -.3116E+03  .3184E+03   .9998282 -.0119505  .0141719
T   94  2 .3699294E+07   1440016E-01 -.4643E+03  .5205E+03   .9997684 -.0161560  .0142184
T   95  2 .3701602E+07   1440022E-01 -.5843E+02  .7498E+03   .9999621 -.0048469 -.0072392
T   96  2 .3650941E+07   1440009E-01 -.4523E+02 -.2481E+03   .9999629  .0063643 -.0058131
T   97  2 .3650976E+07   1440021E-01 -.2455E+03  .2293E+03   .9999701  .0055095 -.0054316
T   98  2 .3669850E+07   1440021E-01  .3608E+03  .9533E+03   .9999414  .0034764  .0102530
T   99  2 .3678016E+07   1440007E-01 -.1387E+04 -.7145E+03   .9998378 -.0179503 -.0014669
T  100  2 .3676418E+07   1440014E-01 -.1393E+03  .7893E+03   .9999500 -.0048534  .0087460
