============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar+Mylar+Mylar+Mylar( 14.3 um) ========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  483  2 .3675341E+07   1440006E-01 -.6233E+03 -.2411E+03   .9999759 -.0046037 -.0051978
T  484  2 .3697418E+07   1440014E-01 -.7870E+03 -.1197E+04   .9999086 -.0117476 -.0066948
T  485  2 .3705853E+07   1440015E-01  .1215E+04  .9180E+03   .9999204  .0093544  .0084614
T  486  2 .3751341E+07   1440000E-01 -.1392E+03  .1275E+03   .9999863 -.0016964  .0049548
T  487  2 .3698458E+07   1440020E-01 -.1104E+04  .6348E+02   .9998959 -.0140228 -.0033882
T  488  2 .3623847E+07   1440015E-01  .3671E+04  .3890E+03   .9990754  .0429910 -.0002728
T  489  2 .3688198E+07   1440004E-01 -.1205E+04  .3313E+03   .9996734 -.0253933 -.0028671
T  490  2 .3671487E+07   1440007E-01  .4711E+03 -.6849E+03   .9998994  .0116909 -.0080288
T  491  2 .3706247E+07   1440014E-01  .1032E+03  .4070E+03   .9999385 -.0077737  .0079154
T  492  2 .3696662E+07   1440008E-01 -.3150E+03  .2018E+02   .9999779 -.0033174  .0057544
T  493  2 .3668599E+07   1440009E-01 -.1881E+03 -.2381E+02   .9995289 -.0249130 -.0179282
T  494  2 .3700887E+07   1440002E-01 -.1432E+03 -.3672E+03   .9999775  .0066363  .0010021
T  495  2 .3675648E+07   1440001E-01 -.5131E+03  .5733E+03   .9999169 -.0093098  .0089150
T  496  2 .3725648E+07   1440004E-01 -.8345E+03  .7589E+03   .9997140 -.0207800  .0118328
T  497  2 .3730058E+07   1440005E-01  .8244E+03 -.1299E+03   .9999567  .0089905 -.0023851
T  498  2 .3672435E+07   1440014E-01 -.3692E+04 -.8686E+03   .9992401 -.0385644 -.0056641
T  499  2 .3686616E+07   1440001E-01 -.1226E+04  .1689E+04   .9998618 -.0096727  .0135194
T  500  2 .3671875E+07   1440002E-01 -.1120E+03  .3728E+03   .9999463 -.0064127  .0081371
T  501  2 .3681794E+07   1440015E-01 -.3493E+03 -.1102E+04   .9997889  .0055672 -.0197756
T  502  2 .3685353E+07   1440014E-01  .1412E+04 -.5166E+03   .9998510  .0160051 -.0064695
T  503  2 .3685082E+07   1440020E-01 -.2137E+03 -.9510E+03   .9999986  .0012808 -.0010668
T  504  2 .3686318E+07   1440001E-01 -.5763E+03 -.9339E+03   .9999111 -.0037602 -.0127951
T  505  2 .3657598E+07   1440007E-01  .1386E+03 -.1405E+02   .9999843 -.0055552  .0006723
T  506  2 .3673428E+07   1440012E-01  .1212E+04  .7371E+03   .9997669  .0196326  .0089863
T  507  2 .3693285E+07   1440001E-01  .8773E+03  .1155E+03   .9999822  .0054285 -.0024723
T  508  2 .3670185E+07   1440020E-01 -.3217E+02  .1648E+04   .9998769 -.0042879  .0150962
T  509  2 .3698049E+07   1440022E-01  .3011E+03 -.5206E+03   .9999263  .0099595 -.0069404
T  510  2 .3653297E+07   1440010E-01  .9698E+03 -.9276E+03   .9998388  .0065374 -.0167205
T  511  2 .3635111E+07   1440005E-01 -.3938E+03 -.2654E+03   .9999865  .0020470 -.0047672
T  512  2 .3693511E+07   1440020E-01 -.4851E+03  .5482E+03   .9999321 -.0079397  .0085253
T  513  2 .3720355E+07   1440012E-01  .2041E+03 -.2118E+03   .9999799  .0060265 -.0019763
T  514  2 .3712916E+07   1440009E-01  .2343E+04 -.3460E+02   .9996973  .0244322  .0028867
T  515  2 .3688046E+07   1440013E-01 -.9155E+03 -.7904E+03   .9997123 -.0192406 -.0143214
T  516  2 .3690883E+07   1440013E-01 -.9730E+03 -.1733E+03   .9997869 -.0189552 -.0081773
T  517  2 .3667479E+07   1440016E-01  .1188E+04 -.1553E+03   .9999070  .0112891 -.0076566
T  518  2 .3659331E+07   1440000E-01  .6232E+01 -.6744E+02   .9999724  .0038967 -.0063216
T  519  2 .3684384E+07   1440008E-01 -.5823E+02 -.6948E+03   .9999344  .0097869  .0059474
T  520  2 .3661179E+07   1440004E-01 -.6058E+03 -.2592E+03   .9999629  .0050377 -.0069942
T  521  2 .3693453E+07   1440011E-01 -.3181E+03 -.1043E+04   .9997475 -.0084524 -.0208221
T  522  2 .3636334E+07   1440019E-01  .7930E+03  .1319E+04   .9999537 -.0027081  .0092306
T  523  2 .3667670E+07   1440020E-01 -.6527E+02  .6450E+03   .9999517  .0008118  .0097953
T  524  2 .3704056E+07   1440015E-01  .1960E+04  .1664E+04   .9997233  .0164123  .0168491
T  525  2 .3639692E+07   1440010E-01  .3826E+03 -.4425E+03   .9999888  .0044856 -.0015094
T  526  2 .3614528E+07   1440018E-01 -.1702E+04  .2932E+04   .9990648 -.0233719  .0363774
T  527  2 .3722866E+07   1440009E-01  .3256E+03  .4819E+03   .9999790 -.0015594  .0062901
T  528  2 .3681340E+07   1440019E-01  .7950E+02  .1625E+03   .9999542 -.0041148  .0086392
T  529  2 .3643584E+07   1440018E-01  .3809E+03 -.7471E+03   .9999069  .0083226 -.0108177
T  530  2 .3697645E+07   1440017E-01 -.1527E+04  .1211E+02   .9999092 -.0134733 -.0001835
T  531  2 .3697725E+07   1440001E-01  .1571E+04  .2821E+03   .9998242  .0165325  .0088500
T  532  2 .3645519E+07   1440013E-01  .2967E+04  .2065E+04   .9997774  .0166476  .0129591
T  533  2 .3635830E+07   1440022E-01  .3548E+02  .1818E+04   .9999494  .0002007  .0100530
T  534  2 .3699532E+07   1440010E-01  .5916E+02 -.2183E+03   .9999652  .0006969  .0083108
T  535  2 .3728479E+07   1440002E-01  .1466E+04  .1506E+04   .9995823  .0252032  .0141435
T  536  2 .3676117E+07   1440014E-01 -.4779E+03 -.1224E+04   .9998888 -.0112491 -.0097864
T  537  2 .3710482E+07   1440021E-01  .2294E+03 -.1851E+02   .9999889  .0031726  .0034908
T  538  2 .3703400E+07   1440021E-01 -.1520E+03 -.1524E+04   .9997359 -.0071256 -.0218474
T  539  2 .3671856E+07   1440011E-01 -.5094E+03  .1546E+03   .9999545 -.0095147  .0006280
T  540  2 .3692794E+07   1440020E-01 -.1609E+03 -.1535E+03   .9999974  .0008342  .0021364
T  541  2 .3690877E+07   1440000E-01 -.8283E+03 -.5051E+03   .9999863 -.0025826 -.0045516
T  542  2 .3702528E+07   1440015E-01 -.4055E+02  .6188E+03   .9999996 -.0006095 -.0006127
T  543  2 .3662144E+07   1440006E-01  .3006E+03  .7120E+03   .9997921  .0203361  .0014893
T  544  2 .3730100E+07   1440000E-01 -.1347E+04 -.1928E+03   .9997244 -.0233227  .0026717
T  545  2 .3671606E+07   1440006E-01  .7046E+03 -.9390E+03   .9998160  .0134073 -.0137182
T  546  2 .3656481E+07   1440016E-01  .1121E+04  .5333E+03   .9999607  .0062783  .0062598
T  547  2 .3686802E+07   1440002E-01  .6161E+03 -.1272E+04   .9997343  .0152391 -.0172931
T  548  2 .3669284E+07   1440017E-01  .1563E+03 -.1822E+03   .9999960  .0026392 -.0010434
T  549  2 .3658331E+07   1440021E-01 -.1276E+03 -.3313E+03   .9999884  .0003305 -.0047974
T  550  2 .3634561E+07   1440004E-01  .1610E+03  .4496E+03   .9999828  .0046481  .0035764
T  551  2 .3712867E+07   1440016E-01  .1411E+03 -.5380E+02   .9999863 -.0021213  .0047925
T  552  2 .3694531E+07   1440003E-01 -.1518E+03  .7638E+02   .9999786 -.0065490 -.0000517
T  553  2 .3639295E+07   1440003E-01  .8136E+03 -.5839E+03   .9998717  .0142563  .0073089
T  554  2 .3669936E+07   1440012E-01  .2297E+03 -.4254E+03   .9999418  .0055394 -.0092633
T  555  2 .3640179E+07   1440008E-01 -.2444E+03  .5500E+03   .9999679 -.0052708  .0060358
T  556  2 .3709292E+07   1440017E-01  .6893E+03 -.1308E+04   .9999572 -.0007534 -.0092182
T  557  2 .3688067E+07   1440012E-01  .2586E+02  .4131E+03   .9998748 -.0151965  .0044142
T  558  2 .3705308E+07   1440021E-01 -.1276E+04 -.1894E+04   .9997814 -.0074381 -.0195425
T  559  2 .3704908E+07   1440000E-01 -.6853E+03  .4703E+03   .9999209 -.0068979  .0105166
T  560  2 .3702880E+07   1440021E-01  .3243E+03 -.1041E+04   .9999857  .0019484 -.0049754
T  561  2 .3652326E+07   1440014E-01 -.2243E+04  .2024E+02   .9996810 -.0224717  .0115254
T  562  2 .3678694E+07   1440005E-01 -.9950E+03  .5003E+03   .9997461 -.0211270  .0078378
T  563  2 .3732098E+07   1440013E-01  .7995E+02 -.2226E+03   .9999977 -.0002134 -.0021329
T  564  2 .3681969E+07   1440010E-01  .4483E+03  .1872E+03   .9999925  .0033281  .0019664
T  565  2 .3679414E+07   1440009E-01  .2723E+04  .1958E+04   .9995859  .0224865  .0179539
T  566  2 .3738306E+07   1440015E-01 -.1673E+03  .6581E+03   .9998806 -.0055220  .0144323
T  567  2 .3659224E+07   1440021E-01 -.6021E+03 -.7272E+03   .9999504 -.0020556 -.0097444
T  568  2 .3693964E+07   1440021E-01  .3915E+03 -.4890E+03   .9997920 -.0099053 -.0178259
T  569  2 .3705187E+07   1440011E-01 -.2503E+03  .1967E+03   .9999779 -.0060100  .0028516
T  570  2 .3726942E+07   1440013E-01 -.1295E+03 -.5716E+03   .9999958 -.0027852  .0007631
T  571  2 .3707430E+07   1440006E-01  .6554E+03  .4640E+03   .9997701  .0152108 -.0151126
T  572  2 .3690628E+07   1440001E-01 -.1710E+03 -.7068E+02   .9999757  .0049715 -.0048829
T  573  2 .3658439E+07   1440021E-01 -.1687E+04 -.2666E+03   .9998440 -.0168800 -.0051921
T  574  2 .3689464E+07   1440019E-01  .3955E+02 -.3709E+03   .9997325  .0226101 -.0048752
T  575  2 .3694928E+07   1440014E-01  .1180E+04 -.6036E+02   .9998799  .0150502 -.0036864
T  576  2 .3716406E+07   1440016E-01 -.5793E+03 -.2177E+04   .9998373  .0010767 -.0180082
T  577  2 .3658917E+07   1440018E-01  .5996E+03  .1361E+04   .9995537  .0137776  .0265074
T  578  2 .3619556E+07   1440015E-01 -.9762E+02  .2280E+03   .9999938  .0032859  .0012571
T  579  2 .3690401E+07   1440012E-01  .2533E+03 -.5513E+03   .9999546  .0080262  .0051373
T  580  2 .3720308E+07   1440017E-01  .3959E+03  .2606E+03   .9998825 -.0116916  .0099097
T  581  2 .3675108E+07   1440019E-01  .1561E+02  .8627E+03   .9997117 -.0052217  .0234349
T  582  2 .3623163E+07   1440016E-01 -.3811E+03 -.2153E+03   .9999790 -.0053311 -.0036768
T  583  2 .3704608E+07   1440018E-01  .7061E+03 -.7361E+03   .9998798  .0108541 -.0110681
T  584  2 .3691019E+07   1440012E-01 -.1346E+04 -.9427E+03   .9995810 -.0204057 -.0205295
T  585  2 .3673431E+07   1440015E-01 -.7469E+02  .1183E+03   .9999754 -.0066293  .0022997
T  586  2 .3655021E+07   1440006E-01  .1263E+04  .5965E+03   .9999393 -.0008536  .0109805
T  587  2 .3721323E+07   1440011E-01  .4393E+03 -.6109E+03   .9999826  .0058930 -.0002328
T  588  2 .3739851E+07   1440021E-01  .5129E+03  .1452E+02   .9999538  .0076372  .0058347
T  589  2 .3721975E+07   1440009E-01  .7933E+03 -.8560E+03   .9999545  .0078088 -.0054703
T  590  2 .3712345E+07   1440000E-01 -.1340E+03  .5293E+02   .9999433 -.0084432  .0064943
T  591  2 .3692240E+07   1440018E-01  .5240E+03  .7654E+03   .9998121  .0157419  .0113144
T  592  2 .3675201E+07   1440016E-01  .8469E+03  .1183E+04   .9999933  .0024777  .0026951
T  593  2 .3701581E+07   1440007E-01 -.3401E+03 -.9345E+03   .9996460 -.0001583 -.0266051
T  594  2 .3720893E+07   1440005E-01 -.7975E+03 -.1117E+04   .9996966 -.0133266 -.0207132
T  595  2 .3702252E+07   1440008E-01  .3852E+03 -.1025E+03   .9999949  .0029095  .0013257
T  596  2 .3680304E+07   1440014E-01  .3731E+03 -.6027E+03   .9997062  .0170277 -.0172531
T  597  2 .3659231E+07   1440007E-01  .6654E+03 -.4606E+02   .9999116  .0114579  .0067478
T  598  2 .3691124E+07   1440009E-01 -.3311E+03  .2254E+03   .9999003 -.0002450  .0141161
T  599  2 .3718559E+07   1440017E-01 -.3102E+03 -.9139E+03   .9999107 -.0102075 -.0086312
T  600  2 .3734189E+07   1440019E-01  .3027E+04  .5454E+03   .9995582  .0295765  .0029268
T  601  2 .3696201E+07   1440001E-01  .1474E+04 -.5022E+03   .9998145  .0163068 -.0102544
T  602  2 .3722229E+07   1440021E-01  .5611E+01  .3778E+03   .9999924  .0004991  .0038565
T  603  2 .3729466E+07   1440010E-01  .4861E+03 -.3365E+03   .9999547  .0093367  .0018642
T  604  2 .3681069E+07   1440019E-01  .1233E+03 -.1379E+03   .9999776  .0064953 -.0016100
T  605  2 .3674030E+07   1440018E-01 -.3371E+03  .2083E+03   .9999898 -.0000635  .0045224
T  606  2 .3657541E+07   1440010E-01  .3674E+03  .3173E+03   .9999714  .0075684  .0001161
T  607  2 .3695401E+07   1440011E-01 -.7277E+03  .2274E+04   .9996963 -.0072764  .0235436
T  608  2 .3722006E+07   1440016E-01 -.3488E+03 -.2279E+03   .9999809 -.0060817  .0011114
T  609  2 .3740284E+07   1440009E-01 -.1061E+04  .8793E+02   .9999094 -.0118376 -.0064124
T  610  2 .3698839E+07   1440001E-01  .1205E+04 -.3715E+03   .9999125  .0110486 -.0072721
T  611  2 .3708388E+07   1440007E-01  .6541E+03 -.8590E+03   .9996745  .0193968  .0165722
T  612  2 .3695685E+07   1440018E-01 -.4331E+03  .3504E+03   .9999420 -.0080743  .0071300
T  613  2 .3663836E+07   1440020E-01  .7409E+03  .4423E+03   .9999841  .0056333  .0000408
T  614  2 .3643612E+07   1440003E-01  .1633E+04  .1091E+04   .9998753  .0157492 -.0011570
T  615  2 .3696677E+07   1440006E-01  .5545E+03  .7599E+03   .9999736  .0056706  .0045507
T  616  2 .3709924E+07   1440001E-01  .6705E+03 -.2357E+03   .9998897  .0145634 -.0029163
T  617  2 .3675274E+07   1440002E-01 -.1002E+03  .2573E+04   .9996964  .0064363  .0237862
T  618  2 .3717658E+07   1440008E-01  .1400E+04 -.1386E+03   .9996571  .0252295  .0070093
T  619  2 .3683779E+07   1440010E-01 -.3675E+03  .1463E+04   .9997289 -.0173312  .0155499
T  620  2 .3663954E+07   1440014E-01 -.3268E+03  .5931E+03   .9999930  .0000253  .0037311
T  621  2 .3678636E+07   1440015E-01  .2569E+03 -.2111E+03   .9999852  .0048564 -.0024632
T  622  2 .3663046E+07   1440014E-01 -.6500E+02  .6784E+03   .9999262  .0077277  .0093770
T  623  2 .3649280E+07   1440001E-01 -.2970E+02  .7179E+03   .9998960 -.0130248  .0061891
T  624  2 .3672549E+07   1440014E-01  .3002E+03  .3880E+03   .9998800  .0104679  .0114159
T  625  2 .3751752E+07   1440009E-01  .3815E+03 -.1022E+04   .9999578  .0058382 -.0070965
T  626  2 .3688825E+07   1440021E-01  .5092E+02 -.6020E+03   .9999677 -.0036112 -.0071786
T  627  2 .3689323E+07   1440011E-01 -.4395E+03  .1258E+04   .9998458 -.0018684  .0174584
T  628  2 .3728941E+07   1440005E-01 -.4825E+03 -.8521E+03   .9999803 -.0040611 -.0047925
T  629  2 .3667192E+07   1440004E-01  .8079E+03  .3899E+03   .9999927  .0036722 -.0010930
T  630  2 .3665399E+07   1440016E-01 -.1510E+04  .1221E+03   .9998934 -.0123165  .0078454
T  631  2 .3653819E+07   1440004E-01 -.7729E+03 -.4713E+03   .9999374 -.0103209 -.0043107
T  632  2 .3644027E+07   1440013E-01  .1682E+03  .3943E+03   .9999531  .0032542  .0091215
T  633  2 .3642060E+07   1440018E-01 -.8079E+03  .5304E+03   .9999516 -.0077891  .0060105
T  634  2 .3666602E+07   1440020E-01 -.1508E+04  .3044E+04   .9993975 -.0118428  .0326250
T  635  2 .3699602E+07   1440002E-01 -.4830E+03  .8540E+03   .9998244  .0178827  .0056005
T  636  2 .3637690E+07   1440007E-01  .6182E+03  .1289E+03   .9999487  .0101139  .0006197
T  637  2 .3687636E+07   1440001E-01 -.5718E+03  .1919E+03   .9999242 -.0121917 -.0017329
T  638  2 .3690416E+07   1440020E-01  .1006E+04  .3668E+02   .9999178 -.0060173 -.0113197
T  639  2 .3666865E+07   1440021E-01 -.4058E+03 -.7766E+03   .9998686 -.0037833 -.0157651
T  640  2 .3666794E+07   1440010E-01  .2859E+02  .8028E+03   .9998880 -.0123641  .0084363
T  641  2 .3697857E+07   1440022E-01  .5224E+03  .1090E+04   .9998951  .0076245  .0123109
T  642  2 .3723919E+07   1440021E-01 -.3016E+03  .9690E+03   .9998959 -.0052476  .0134371
T  643  2 .3682029E+07   1440009E-01  .3760E+03  .2204E+03   .9999723  .0073264 -.0013312
T  644  2 .3712581E+07   1440012E-01  .8342E+03 -.1155E+04   .9999382  .0019419 -.0109421
T  645  2 .3659504E+07   1440007E-01 -.1521E+03 -.1243E+04   .9999990 -.0004490  .0013146
T  646  2 .3698810E+07   1440018E-01  .7717E+02 -.4338E+03   .9999920  .0017621  .0036034
T  647  2 .3635190E+07   1440019E-01 -.1410E+04 -.3364E+04   .9995697 -.0065202 -.0285987
T  648  2 .3682270E+07   1440019E-01 -.2657E+03  .2077E+03   .9999304 -.0048939  .0107319
T  649  2 .3685405E+07   1440010E-01  .8885E+03  .1488E+03   .9999677  .0028188 -.0075226
T  650  2 .3694671E+07   1440009E-01 -.2912E+03  .1210E+03   .9999701 -.0059498  .0049468
T  651  2 .3696235E+07   1440009E-01 -.1402E+02 -.3067E+03   .9999805  .0056620 -.0026176
T  652  2 .3709693E+07   1440009E-01  .1743E+04 -.2346E+04   .9996527  .0119753 -.0234763
T  653  2 .3677613E+07   1440002E-01 -.2416E+04  .1716E+04   .9994095 -.0285610  .0191025
T  654  2 .3678910E+07   1440019E-01 -.5043E+02  .8382E+03   .9999653 -.0021817  .0080353
T  655  2 .3667082E+07   1440018E-01 -.3522E+04 -.3586E+04   .9994148 -.0211719 -.0268664
T  656  2 .3645491E+07   1440020E-01  .9890E+02  .3422E+03   .9999239  .0096961  .0076310
T  657  2 .3732042E+07   1440019E-01 -.1077E+04 -.2824E+03   .9998139 -.0185211  .0054020
T  658  2 .3659849E+07   1440015E-01 -.7393E+02  .1804E+03   .9999046 -.0038911  .0132563
T  659  2 .3674139E+07   1440006E-01  .2771E+04  .5900E+03   .9996181  .0257397  .0100608
T  660  2 .3711446E+07   1440021E-01 -.5451E+03 -.1665E+03   .9999333 -.0100589 -.0056805
T  661  2 .3666846E+07   1440021E-01 -.7534E+02 -.8034E+03   .9999544  .0016975 -.0093935
T  662  2 .3701394E+07   1440011E-01 -.9832E+03  .8313E+03   .9999035 -.0122866  .0064907
T  663  2 .3649094E+07   1440011E-01 -.3852E+03  .7178E+03   .9999842 -.0055178 -.0010525
T  664  2 .3680230E+07   1440002E-01 -.2065E+04 -.1201E+04   .9996239 -.0209962 -.0176388
T  665  2 .3670740E+07   1440003E-01 -.1042E+04  .2705E+03   .9999690 -.0056965  .0054333
T  666  2 .3652397E+07   1440009E-01 -.2329E+03  .5119E+03   .9997339 -.0083792  .0214906
T  667  2 .3718439E+07   1440006E-01 -.9839E+03  .1686E+04   .9997757 -.0093098  .0190231
T  668  2 .3677902E+07   1440001E-01  .5301E+03  .2993E+03   .9999082  .0132964  .0026189
T  669  2 .3690637E+07   1440014E-01 -.1971E+04  .1360E+04   .9998803 -.0154698  .0000630
T  670  2 .3722303E+07   1440000E-01  .6806E+03  .8327E+03   .9998106  .0137149  .0138104
T  671  2 .3613714E+07   1440021E-01 -.2003E+03 -.1650E+04   .9997640  .0012243 -.0216913
T  672  2 .3654192E+07   1440021E-01  .5337E+03 -.2140E+03   .9998244  .0112770 -.0149670
T  673  2 .3686801E+07   1440017E-01 -.4085E+03 -.1562E+03   .9999278 -.0119756  .0009924
T  674  2 .3639958E+07   1440018E-01  .1349E+04 -.8132E+03   .9997457  .0206587 -.0090433
T  675  2 .3700479E+07   1440001E-01 -.5271E+03 -.4013E+03   .9999877  .0044358 -.0022039
T  676  2 .3662754E+07   1440017E-01 -.6312E+03 -.2392E+01   .9999892 -.0044693  .0012533
T  677  2 .3743962E+07   1440001E-01 -.1313E+04 -.9218E+03   .9997256 -.0200916 -.0120402
T  678  2 .3662611E+07   1440015E-01  .2607E+03 -.5192E+03   .9999861 -.0012125 -.0051352
T  679  2 .3675298E+07   1440003E-01  .9401E+03  .2220E+03   .9998539  .0052533  .0162647
T  680  2 .3679274E+07   1440010E-01  .9428E+02 -.8097E+03   .9999967  .0022301 -.0012655
T  681  2 .3657451E+07   1440003E-01  .2983E+03 -.1835E+03   .9981576  .0366225  .0483765
T  682  2 .3659779E+07   1440013E-01 -.1705E+04 -.1018E+04   .9996848 -.0232347 -.0095141
T  683  2 .3710943E+07   1440017E-01 -.6264E+03  .3137E+03   .9998111 -.0190092  .0040425
T  684  2 .3673074E+07   1440019E-01 -.4881E+03  .3517E+03   .9998331 -.0099149  .0153438
T  685  2 .3728156E+07   1440018E-01  .3413E+03 -.5509E+03   .9998719  .0158124 -.0024930
T  686  2 .3669472E+07   1440021E-01 -.3134E+03 -.6452E+03   .9999875  .0032597  .0037976
T  687  2 .3709081E+07   1440010E-01  .2316E+04  .8044E+03   .9995835  .0179532  .0225934
T  688  2 .3686199E+07   1440004E-01 -.1569E+04 -.3653E+03   .9998831 -.0090689 -.0123141
T  689  2 .3644251E+07   1440006E-01 -.8096E+03  .1281E+04   .9998524 -.0100444  .0139398
T  690  2 .3706651E+07   1440020E-01 -.1555E+04  .3163E+03   .9995871 -.0281764  .0056381
T  691  2 .3669117E+07   1440021E-01  .4784E+03 -.3497E+03   .9997151  .0036204 -.0235945
T  692  2 .3633263E+07   1440016E-01  .3495E+03  .1933E+03   .9999555  .0087535  .0035088
T  693  2 .3644937E+07   1440007E-01 -.5013E+03 -.7231E+03   .9998619 -.0133592  .0098823
T  694  2 .3715508E+07   1440021E-01 -.4721E+03 -.4928E+03   .9999099 -.0043720 -.0126911
T  695  2 .3706715E+07   1440021E-01  .7050E+03  .4323E+03   .9999850  .0007795  .0054294
T  696  2 .3720946E+07   1440001E-01  .1393E+03  .1487E+03   .9999662  .0019648 -.0079812
T  697  2 .3704928E+07   1440018E-01 -.4261E+03  .3517E+03   .9999335 -.0027273  .0112024
T  698  2 .3683321E+07   1440019E-01  .8264E+03 -.1245E+04   .9997898  .0145833 -.0144134
T  699  2 .3682674E+07   1440011E-01  .1542E+04  .4354E+03   .9980554  .0611982  .0118428
T  700  2 .3685806E+07   1440017E-01 -.8824E+03 -.3713E+03   .9999031 -.0129255 -.0051783
T  701  2 .3728617E+07   1440016E-01 -.2389E+03  .7113E+03   .9999565  .0068648  .0063086
T  702  2 .3726764E+07   1440010E-01  .3903E+03  .1683E+03   .9999818  .0004795  .0060214
T  703  2 .3705819E+07   1440021E-01  .5482E+03 -.9739E+03   .9998380  .0043719 -.0174598
T  704  2 .3679842E+07   1440009E-01 -.1616E+04 -.1845E+03   .9997856 -.0191752 -.0078193
T  705  2 .3678824E+07   1440016E-01 -.1167E+04 -.1548E+01   .9998033 -.0195287 -.0034516
T  706  2 .3714331E+07   1440017E-01  .1597E+03  .1016E+04   .9998792  .0023476  .0153652
T  707  2 .3696344E+07   1440016E-01 -.1399E+03  .2763E+03   .9999813 -.0021893  .0057022
T  708  2 .3687223E+07   1440015E-01 -.8595E+02  .5481E+02   .9999408  .0099964 -.0042955
T  709  2 .3725097E+07   1440012E-01 -.1556E+03 -.3589E+02   .9999509 -.0068445 -.0071706
T  710  2 .3662678E+07   1440000E-01 -.6577E+02 -.3582E+03   .9999346 -.0046834 -.0104327
T  711  2 .3691989E+07   1440001E-01  .3420E+03  .1087E+04   .9996896 -.0041508  .0245650
T  712  2 .3682134E+07   1440003E-01 -.1624E+02 -.4577E+03   .9999728 -.0035222 -.0064831
T  713  2 .3707224E+07   1440016E-01  .3724E+03  .1890E+03   .9999956  .0001521 -.0029502
T  714  2 .3673188E+07   1440020E-01  .5329E+02  .7421E+03   .9998405 -.0005638  .0178483
T  715  2 .3688307E+07   1440011E-01 -.2828E+03 -.2194E+03   .9983234 -.0567077 -.0116048
T  716  2 .3696049E+07   1440004E-01  .8906E+03 -.1011E+03   .9999228  .0120608  .0029938
T  717  2 .3688292E+07   1440007E-01  .6695E+03  .1583E+03   .9999206  .0117148  .0046518
T  718  2 .3653077E+07   1440001E-01  .2529E+03 -.2452E+03   .9999414 -.0046055 -.0097929
T  719  2 .3664816E+07   1440012E-01 -.2177E+04 -.3488E+03   .9996277 -.0270456 -.0036117
T  720  2 .3713749E+07   1440010E-01  .3875E+03 -.1347E+04   .9999194  .0079185 -.0099235
T  721  2 .3682991E+07   1440010E-01 -.4669E+03  .3402E+03   .9999108 -.0048866  .0124315
T  722  2 .3713254E+07   1440000E-01 -.4443E+03 -.1372E+04   .9997879 -.0063151 -.0196046
T  723  2 .3694471E+07   1440021E-01 -.1050E+04 -.1229E+03   .9998050 -.0159555 -.0116317
T  724  2 .3686698E+07   1440012E-01  .6430E+01 -.5400E+02   .9998632  .0112655  .0121117
T  725  2 .3713113E+07   1440003E-01 -.8286E+03  .4379E+03   .9998889 -.0134911  .0063336
T  726  2 .3668307E+07   1440015E-01  .2757E+03  .6179E+03   .9998850  .0125244  .0085529
T  727  2 .3687134E+07   1440009E-01 -.2737E+03 -.6841E+03   .9997033 -.0039384 -.0240384
T  728  2 .3709226E+07   1440019E-01 -.7604E+03 -.6155E+00   .9999627 -.0062704  .0059352
T  729  2 .3650995E+07   1440009E-01 -.1263E+04 -.2062E+03   .9998798 -.0149046 -.0042628
T  730  2 .3716197E+07   1440021E-01 -.1678E+04 -.2856E+04   .9986114 -.0300508 -.0432688
T  731  2 .3736020E+07   1440010E-01 -.5753E+03 -.3321E+03   .9999937 -.0000612  .0035452
T  732  2 .3747882E+07   1440021E-01  .4701E+03 -.3744E+03   .9999801  .0063006  .0003497
T  733  2 .3718695E+07   1440009E-01  .1148E+04  .1252E+03   .9997465  .0032655  .0222759
T  734  2 .3680887E+07   1440008E-01  .1144E+04  .9019E+03   .9996247  .0260293  .0085374
T  735  2 .3739297E+07   1440011E-01 -.5897E+03  .4093E+02   .9997490 -.0175789  .0138922
T  736  2 .3689831E+07   1440000E-01 -.5285E+02  .6494E+03   .9998952 -.0029911  .0141655
T  737  2 .3715768E+07   1440007E-01 -.2314E+03  .1040E+04   .9999108 -.0002953  .0133555
T  738  2 .3670088E+07   1440021E-01  .3222E+03 -.1035E+04   .9999859  .0000346 -.0053069
T  739  2 .3731462E+07   1440008E-01  .2403E+04  .1168E+03   .9991306  .0360500  .0209405
T  740  2 .3691543E+07   1440003E-01 -.5584E+03 -.7727E+03   .9998542 -.0109068 -.0131379
T  741  2 .3645959E+07   1440017E-01  .7754E+03  .1916E+04   .9993763  .0228805  .0268977
T  742  2 .3635834E+07   1440019E-01 -.8292E+02 -.3842E+03   .9995160 -.0188447 -.0247514
T  743  2 .3685295E+07   1440015E-01  .1257E+04 -.5269E+03   .9999656  .0080166 -.0021077
