============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar+Mylar+Mylar( 10.7 um) ==============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  165  2 .4198549E+07   1080006E-01 -.9885E+03  .7340E+02   .9984465 -.0554447  .0055273
T  166  2 .4186925E+07   1080010E-01 -.8727E+02  .6089E+02   .9999781  .0000003  .0066164
T  167  2 .4196324E+07   1080021E-01 -.7861E+03 -.1155E+03   .9999451 -.0096139 -.0041722
T  168  2 .4187472E+07   1080010E-01 -.1470E+03  .1149E+04   .9998821  .0051976  .0144472
T  169  2 .4198616E+07   1080017E-01 -.8042E+03 -.1944E+03   .9997212 -.0222912 -.0077860
T  170  2 .4227817E+07   1080013E-01 -.4087E+03  .3901E+03   .9999817 -.0047028  .0038046
T  171  2 .4196749E+07   1080021E-01  .1352E+03  .6570E+03   .9999613  .0026146  .0083984
T  172  2 .4196359E+07   1080002E-01  .7658E+03 -.3861E+03   .9998348  .0173715 -.0053439
T  173  2 .4139624E+07   1080017E-01  .4172E+03 -.8197E+02   .9999653  .0065836 -.0051135
T  174  2 .4191551E+07   1080008E-01  .5842E+02 -.7566E+02   .9999943 -.0013411  .0030969
T  175  2 .4177962E+07   1080021E-01  .8997E+03 -.6122E+02   .9997954  .0191379 -.0065426
T  176  2 .4162753E+07   1080007E-01  .1092E+04 -.1278E+04   .9989908  .0213182 -.0395338
T  177  2 .4183466E+07   1080017E-01 -.1092E+03  .5965E+01   .9999944  .0007848  .0032639
T  178  2 .4209240E+07   1080016E-01  .1386E+03  .5586E+03   .9999343  .0064484  .0094733
T  179  2 .4184455E+07   1080017E-01  .1096E+03  .5112E+03   .9999912  .0018161  .0037944
T  180  2 .4195136E+07   1080021E-01  .1385E+02 -.2653E+02   .9999815 -.0044971  .0040969
T  181  2 .4200924E+07   1080005E-01 -.6658E+03 -.1128E+04   .9998221  .0038788 -.0184601
T  182  2 .4184109E+07   1080007E-01 -.6646E+02  .3443E+03   .9999797 -.0046175  .0044009
T  183  2 .4240950E+07   1080015E-01 -.2187E+03  .2855E+03   .9999307 -.0090567  .0075220
T  184  2 .4175112E+07   1080011E-01 -.3068E+03 -.3031E+02   .9999897  .0044209 -.0010589
T  185  2 .4230507E+07   1080018E-01  .2893E+03 -.4405E+03   .9999286  .0118710  .0013728
T  186  2 .4156141E+07   1080011E-01  .9975E+02  .1890E+02   .9999988  .0009469 -.0012210
