============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Layer 1(  12 um) =========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  130  2 .3328213E+07   1200022E-01  .4557E+03 -.2670E+04   .9994973  .0041477 -.0314303
T  131  2 .3447149E+07   1200024E-01  .1144E+04  .1559E+03   .9996719  .0239003  .0092175
T  132  2 .3339211E+07   1200011E-01 -.1341E+04 -.1066E+04   .9999386 -.0080536 -.0076118
T  133  2 .3355768E+07   1200012E-01  .2309E+03 -.4863E+03   .9999171  .0056718 -.0115566
T  134  2 .3431257E+07   1200010E-01  .1849E+04  .2328E+03   .9997955  .0197392  .0043858
T  135  2 .3407607E+07   1200003E-01 -.3153E+03 -.4388E+03   .9998090  .0013639 -.0194943
T  136  2 .3440244E+07   1200023E-01 -.2063E+03  .3050E+04   .9968985 -.0242028  .0748845
T  137  2 .3429192E+07   1200020E-01  .3552E+03 -.1125E+04   .9997376  .0045986 -.0224392
T  138  2 .3405478E+07   1200013E-01 -.1987E+04  .2745E+03   .9995680 -.0263810 -.0129524
T  139  2 .3351821E+07   1200021E-01 -.2560E+03  .1776E+03   .9999399  .0032048  .0104802
T  140  2 .3363355E+07   1200003E-01  .2289E+03 -.8597E+03   .9998021 -.0056585 -.0190698
T  141  2 .3441340E+07   1200020E-01  .4173E+03  .1050E+04   .9999822 -.0058626  .0011187
