============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar+Mylar+Mylar+Mylar+( 17.9 um) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  210  2 .3128764E+07   1800014E-01 -.7421E+03 -.1124E+04   .9997535 -.0059576 -.0213902
T  211  2 .3053276E+07   1800015E-01 -.2497E+04 -.2357E+04   .9990781 -.0348323 -.0250910
T  212  2 .3184282E+07   1800001E-01 -.5099E+03 -.3777E+03   .9998466  .0129882 -.0117517
T  213  2 .3110977E+07   1800002E-01 -.6474E+03 -.8397E+03   .9997453 -.0057643 -.0218183
T  214  2 .3096450E+07   1800012E-01  .1041E+04 -.5950E+03   .9999123  .0081461 -.0104467
T  215  2 .3163232E+07   1800011E-01  .8091E+03  .2645E+03   .9999880  .0048696  .0004785
T  216  2 .3118977E+07   1800001E-01 -.1146E+04  .1125E+02   .9997130 -.0227025 -.0076435
T  217  2 .3158606E+07   1800009E-01  .1912E+03  .2362E+03   .9999932 -.0036929 -.0001137
T  218  2 .3120222E+07   1800013E-01  .1886E+04  .4103E+03   .9998453  .0175254  .0015059
T  219  2 .3147327E+07   1800012E-01  .1101E+04  .2156E+04   .9998232  .0097984  .0160464
T  220  2 .3146898E+07   1800012E-01  .7177E+03  .6755E+03   .9988811 -.0132778  .0453904
T  221  2 .3126513E+07   1800017E-01  .2237E+04  .7824E+03   .9998244  .0177496  .0060042
T  222  2 .3138269E+07   1800020E-01  .2056E+03 -.3971E+03   .9999954 -.0028428 -.0010999
T  223  2 .3164896E+07   1800007E-01 -.1515E+03 -.8324E+03   .9996104  .0079261 -.0267628
T  224  2 .3107613E+07   1800009E-01 -.2427E+03 -.8695E+02   .9999934 -.0007584 -.0035566
T  225  2 .3152643E+07   1800003E-01  .2056E+03 -.7428E+03   .9999771 -.0003415 -.0067618
T  226  2 .3162770E+07   1800017E-01  .4262E+03 -.1024E+04   .9998648  .0050143 -.0156628
T  227  2 .3064546E+07   1800015E-01 -.1160E+04 -.2465E+04   .9997261 -.0142293 -.0185811
T  228  2 .3062385E+07   1800019E-01  .1230E+04 -.4163E+03   .9999597  .0044866 -.0077753
T  229  2 .3096736E+07   1800016E-01 -.4036E+03  .2017E+04   .9996455 -.0090020  .0250568
T  230  2 .3132536E+07   1800015E-01 -.1912E+03  .1069E+04   .9999062  .0024469  .0134737
T  231  2 .3114222E+07   1800016E-01 -.2526E+03 -.8322E+03   .9999836  .0018058 -.0054388
T  232  2 .3182561E+07   1800019E-01 -.5676E+03  .2659E+03   .9998650  .0164081 -.0008579
T  233  2 .3129091E+07   1800011E-01  .1598E+04 -.5402E+03   .9999902  .0024262  .0037099
T  234  2 .3091026E+07   1800004E-01  .7373E+02 -.7192E+02   .9999930  .0037262 -.0001802
T  235  2 .3168277E+07   1800011E-01 -.5349E+03 -.1354E+04   .9999128  .0018108 -.0130784
