============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar( 3.59 um) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  123  2 .5086497E+07   3600022E-02  .6790E+02 -.3085E+02   .9999967  .0025509  .0001209
T  124  2 .5086871E+07   3600217E-02  .4041E+02  .1213E+03   .9999672  .0030786  .0074864
T  125  2 .5072276E+07   3600098E-02  .7846E+01 -.3782E+02   .9999971  .0017906  .0015837
T  126  2 .5081093E+07   3600120E-02  .2757E+02  .5976E+02   .9999816  .0059850 -.0010273
T  127  2 .5081902E+07   3600073E-02 -.5286E+02 -.1427E+02   .9999978 -.0008003  .0019535
T  128  2 .5088763E+07   3600165E-02  .2029E+03 -.2769E+02   .9999750  .0057981 -.0040356
T  129  2 .5086393E+07   3600203E-02  .4227E+02 -.2506E+02   .9999981 -.0015991 -.0011058
T  130  2 .5084875E+07   3600164E-02  .2488E+02 -.1061E+03   .9999794 -.0013358 -.0062716
T  131  2 .5070327E+07   3600116E-02  .2474E+02  .1014E+02   .9999964  .0026800 -.0000373
T  132  2 .5100686E+07   3600036E-02 -.2306E+02  .1084E+03   .9999754  .0003627  .0070045
T  133  2 .5066273E+07   3600072E-02  .4735E+02 -.8855E+02   .9999841  .0031733 -.0046674
T  134  2 .5063851E+07   3600206E-02  .7987E+02 -.3924E+02   .9999970  .0018572 -.0016116
T  135  2 .5105558E+07   3600089E-02 -.1204E+03 -.3720E+02   .9999947 -.0011836 -.0030370
T  136  2 .5069673E+07   3600002E-02 -.6433E+02  .1488E+03   .9999835 -.0026897  .0050669
